Seed Value,Duration (ms),Training Accuracy (%),Training F1,Test Accuracy (%),Test F1,Test Correct/Total
1235,5.97,0.55,0.69,0.55,0.69,145/263
45679,5.74,0.59,0.69,0.59,0.70,154/263
9101113,5.74,0.53,0.67,0.53,0.47,139/263
13141517,5.70,0.71,0.69,0.71,0.71,188/263
171819121,5.71,0.50,0.67,0.50,0.30,132/263
21222325,5.75,0.54,0.68,0.54,0.19,141/263
25262729,5.74,0.48,0.64,0.48,0.64,127/263
29303133,5.72,0.56,0.66,0.56,0.68,146/263
33343537,5.72,0.52,0.67,0.52,0.67,136/263
37383941,5.69,0.57,0.69,0.57,0.70,149/263
