Seed Value,Duration (ms),Training Accuracy (%),Training F1,Test Accuracy (%),Test F1,Test Correct/Total
1748092825050,0.82,93.19,0.93,99.62,1.00,262/263
1748092825877,0.86,93.19,0.93,100.00,1.00,263/263
1748092826737,0.86,93.19,0.93,100.00,1.00,263/263
1748092827599,0.87,93.19,0.93,100.00,1.00,263/263
1748092828468,0.65,93.19,0.93,100.00,1.00,263/263
1748092829120,0.85,93.19,0.93,99.24,0.99,261/263
1748092829969,0.71,93.19,0.93,100.00,1.00,263/263
1748092830675,0.91,93.19,0.93,100.00,1.00,263/263
1748092831581,0.51,99.00,0.99,99.24,0.99,261/263
1748092832087,0.90,95.69,0.96,94.68,0.94,249/263
